Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:HostingInstitution,HostingInstitution,"Typically, the organisation allowing the resource to be available on the internet through the provision of its hardware/software/operating support.",,,datacite:contributorType,,,,,,,
datacite:Producer,Producer,"Typically, a person or organisation responsible for the artistry and form of a media product.",,,datacite:contributorType,,,,,,,
datacite:ProjectLeader,ProjectLeader,Person officially designated as head of project team or sub- project team instrumental in the work necessary to development of the resource.,,,datacite:contributorType,,,,,,,
datacite:ProjectManager,ProjectManager,Person officially designated as manager of a project. Project may consist of one or many project teams and sub-teams.,,,datacite:contributorType,,,,,,,
datacite:ProjectMember,ProjectMember,Person on the membership list of a designated project/project team.,,,datacite:contributorType,,,,,,,
datacite:RegistrationAgency,RegistrationAgency,Institution/organisation officially appointed by a Registration Authority to handle specific tasks within a defined area of responsibility.,,,datacite:contributorType,,,,,,,
datacite:RegistrationAuthority,RegistrationAuthority,A standards-setting body from which Registration Agencies obtain official recognition and guidance.,,,datacite:contributorType,,,,,,,
datacite:RelatedPerson,RelatedPerson,"A person without a specifically defined role in the development of the resource, but who is someone the author wishes to recognize.",,,datacite:contributorType,,,,,,,
datacite:Researcher,Researcher,A person involved in analysing data or the results of an experiment or formal study. May indicate an intern or assistant to one of the authors who helped with research but who was not so “key” as to be listed as an author.,,,datacite:contributorType,,,,,,,
datacite:ResearchGroup,ResearchGroup,"Typically refers to a group of individuals with a lab, department, or division that has a specifically defined focus of activity.",,,datacite:contributorType,,,,,,,
datacite:RightsHolder,RightsHolder,"Person or institution owning or managing property rights, including intellectual property rights over the resource.",,,datacite:contributorType,,,,,,,
datacite:Sponsor,Sponsor,"Person or organisation that issued a contract or under the auspices of which a work has been written, printed, published, developed, etc.",,,datacite:contributorType,,,,,,,
